node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,UCOS8ViEkccrTZx2w2ccxotA,,,,,,True
author::UCOY3XpD9qMCRSA8AA8c4CAw,author,@franciscorodas9686,UCOY3XpD9qMCRSA8AA8c4CAw,,,,,,True
author::UCOcUI5XkTYNMSFhZNMIPpGg,author,@hendersonlopez3864,UCOcUI5XkTYNMSFhZNMIPpGg,,,,,,True
author::UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,UCOh6DaZC_x9HASnlRylEMfw,,,,,,True
author::UCPLW0HE3siElqCgXfgWxMqg,author,@elizabethmonterroso7719,UCPLW0HE3siElqCgXfgWxMqg,,,,,,True
author::UCPNXmbOBVeC4HS-xemvcPtQ,author,@BelkisRodriguezRamirez,UCPNXmbOBVeC4HS-xemvcPtQ,,,,,,True
author::UCPZueDLrCS4BmTBRMA4q0fA,author,@kevinochoa3695,UCPZueDLrCS4BmTBRMA4q0fA,,,,,,True
author::UCQIdKuZ-OzuFqy0KjGrgesg,author,@lyacausa,UCQIdKuZ-OzuFqy0KjGrgesg,,,,,,True
author::UCQM2tCKRRytVDRxNUfCDqQQ,author,@elioelias7267,UCQM2tCKRRytVDRxNUfCDqQQ,,,,,,True
author::UCQMMuADgqWUOcJpLwHOzC-g,author,@Ripped-Yoda,UCQMMuADgqWUOcJpLwHOzC-g,,,,,,True
author::UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,UCQ_-LPP8JAbfkc-b1Q6NvWw,,,,,,True
author::UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,UCQgYjVngJRfPHDLGB5X6ZjA,,,,,,True
author::UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,UCQqetiwzzmRNTM5OWuXarGQ,,,,,,True
author::UCQqlPPUGqAfWjd-FSh_qn7Q,author,@estuardoargueta137,UCQqlPPUGqAfWjd-FSh_qn7Q,,,,,,True
author::UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,UCQtICyzWmhC5woCtbNgaSmg,,,,,,True
author::UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,UCQtSFINs1h6GHkpg9o5kMvg,,,,,,True
author::UCQyOePccUP-fIJYzchAgZYw,author,@aguilar4254,UCQyOePccUP-fIJYzchAgZYw,,,,,,True
author::UCRAquv8el-tQ30bN7MlmySQ,author,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,,,,,,True
author::UCRETAiYdh2dL5ZxB0_N1zDA,author,@Joseroland21,UCRETAiYdh2dL5ZxB0_N1zDA,,,,,,True
author::UCRcSR3Lvn9DZAmJpVPANfZQ,author,@WalksandSuch,UCRcSR3Lvn9DZAmJpVPANfZQ,,,,,,True
author::UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,,,,,,True
author::UCRfkkatKrNtAARnXMMYBGlA,author,@BernerSoza-mg3vx,UCRfkkatKrNtAARnXMMYBGlA,,,,,,True
author::UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,UCRlCV9zSn7avAWh-9_XFWqQ,,,,,,True
author::UCRvPToDkkumha7WJAfCDk1A,author,@ligiaguerra3057,UCRvPToDkkumha7WJAfCDk1A,,,,,,True
author::UCRznz9-N3Qc1w-qNdLSIY2Q,author,@jimmygomez724,UCRznz9-N3Qc1w-qNdLSIY2Q,,,,,,True
author::UCSTAUWVc1_82DHYeqOsqEFA,author,@TheAlexX_C,UCSTAUWVc1_82DHYeqOsqEFA,,,,,,True
author::UCSou6a2OuYGSvPjm5psquyA,author,@FranciscoRivera-sf7ne,UCSou6a2OuYGSvPjm5psquyA,,,,,,True
author::UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,UCTD6q1nyIe3Y7HhqjaMj72w,,,,,,True
author::UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,UCTP3O0rMnc8z8v8jaDQwL0w,,,,,,True
author::UCTTILH6QCIxbTnEWxwRqs1g,author,@3762Jorge,UCTTILH6QCIxbTnEWxwRqs1g,,,,,,True
author::UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,UCThW2XNsAaBKme5PUt7n-Zg,,,,,,True
author::UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,UCTwSut16JyAg3mX6LVUNGqA,,,,,,True
author::UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,UCTylKrsqkrBKIqubMu_5N0Q,,,,,,True
author::UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,UCUIIIPTVDVHAXqhC_5V6lPA,,,,,,True
author::UCUoYsrx1oZnCZ0usbBJn4fA,author,@AnaDiaz-re9sq,UCUoYsrx1oZnCZ0usbBJn4fA,,,,,,True
author::UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,UCV0iizTBoOfdAFX_thfI9BA,,,,,,True
author::UCV0lM03g5fg5pbPj97-sAtA,author,@genarodelgado3929,UCV0lM03g5fg5pbPj97-sAtA,,,,,,True
author::UCV3fr-YOixFKCZBbJP1-X4w,author,@albertoshernandez5251,UCV3fr-YOixFKCZBbJP1-X4w,,,,,,True
author::UCVC2QugcI1G4RvlCiUqd1aQ,author,@rwdm76,UCVC2QugcI1G4RvlCiUqd1aQ,,,,,,True
author::UCVQf0tzL7xRzFJsABVVULpg,author,@DennisseLopetegi,UCVQf0tzL7xRzFJsABVVULpg,,,,,,True
author::UCVdjCrh4tQoX3haNAZv-n5A,author,@aurahernandez5646,UCVdjCrh4tQoX3haNAZv-n5A,,,,,,True
author::UCVhif9eV0f8plICen2DnpKA,author,@blogarteplus,UCVhif9eV0f8plICen2DnpKA,,,,,,True
author::UCW-JC6lebVmf2P1dmY_L94g,author,@dinoraoroxon5771,UCW-JC6lebVmf2P1dmY_L94g,,,,,,True
