red,componente,tamano,aristas_internas,es_componente_mayor
bipartita_autor_video,197,1,0,False
bipartita_autor_video,198,1,0,False
bipartita_autor_video,199,1,0,False
bipartita_autor_video,200,1,0,False
bipartita_autor_video,201,1,0,False
bipartita_autor_video,202,1,0,False
bipartita_autor_video,203,1,0,False
bipartita_autor_video,204,1,0,False
bipartita_autor_video,205,1,0,False
bipartita_autor_video,206,1,0,False
bipartita_autor_video,207,1,0,False
bipartita_autor_video,208,1,0,False
bipartita_autor_video,209,1,0,False
bipartita_autor_video,210,1,0,False
bipartita_autor_video,211,1,0,False
bipartita_autor_video,212,1,0,False
bipartita_autor_video,213,1,0,False
bipartita_autor_video,214,1,0,False
bipartita_autor_video,215,1,0,False
bipartita_autor_video,216,1,0,False
bipartita_autor_video,217,1,0,False
bipartita_autor_video,218,1,0,False
bipartita_autor_video,219,1,0,False
bipartita_autor_video,220,1,0,False
bipartita_autor_video,221,1,0,False
bipartita_autor_video,222,1,0,False
bipartita_autor_video,223,1,0,False
bipartita_autor_video,224,1,0,False
bipartita_autor_video,225,1,0,False
bipartita_autor_video,226,1,0,False
bipartita_autor_video,227,1,0,False
bipartita_autor_video,228,1,0,False
bipartita_autor_video,229,1,0,False
bipartita_autor_video,230,1,0,False
bipartita_autor_video,231,1,0,False
bipartita_autor_video,232,1,0,False
bipartita_autor_video,233,1,0,False
bipartita_autor_video,234,1,0,False
bipartita_autor_video,235,1,0,False
bipartita_autor_video,236,1,0,False
bipartita_autor_video,237,1,0,False
bipartita_autor_video,238,1,0,False
bipartita_autor_video,239,1,0,False
bipartita_autor_video,240,1,0,False
bipartita_autor_video,241,1,0,False
bipartita_autor_video,242,1,0,False
bipartita_autor_video,243,1,0,False
bipartita_autor_video,244,1,0,False
bipartita_autor_video,245,1,0,False
bipartita_autor_video,246,1,0,False
bipartita_autor_video,247,1,0,False
bipartita_autor_video,248,1,0,False
bipartita_autor_video,249,1,0,False
bipartita_autor_video,250,1,0,False
bipartita_autor_video,251,1,0,False
bipartita_autor_video,252,1,0,False
bipartita_autor_video,253,1,0,False
bipartita_autor_video,254,1,0,False
bipartita_autor_video,255,1,0,False
bipartita_autor_video,256,1,0,False
bipartita_autor_video,257,1,0,False
bipartita_autor_video,258,1,0,False
bipartita_autor_video,259,1,0,False
bipartita_autor_video,260,1,0,False
bipartita_autor_video,261,1,0,False
bipartita_autor_video,262,1,0,False
bipartita_autor_video,263,1,0,False
bipartita_autor_video,264,1,0,False
bipartita_autor_video,265,1,0,False
bipartita_autor_video,266,1,0,False
bipartita_autor_video,267,1,0,False
bipartita_autor_video,268,1,0,False
bipartita_autor_video,269,1,0,False
bipartita_autor_video,270,1,0,False
bipartita_autor_video,271,1,0,False
bipartita_autor_video,272,1,0,False
bipartita_autor_video,273,1,0,False
bipartita_autor_video,274,1,0,False
bipartita_autor_video,275,1,0,False
bipartita_autor_video,276,1,0,False
bipartita_autor_video,277,1,0,False
bipartita_autor_video,278,1,0,False
bipartita_autor_video,279,1,0,False
bipartita_autor_video,280,1,0,False
bipartita_autor_video,281,1,0,False
bipartita_autor_video,282,1,0,False
bipartita_autor_video,283,1,0,False
bipartita_autor_video,284,1,0,False
proyeccion_autor_autor,1,276,10269,True
proyeccion_autor_autor,2,25,300,False
proyeccion_autor_autor,3,18,153,False
proyeccion_autor_autor,4,4,6,False
